,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,case_id,num_classes,classes
832,832,832,832,case_2832,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
825,825,825,825,case_2825,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
866,866,866,866,case_2866,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
868,868,868,868,case_2868,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
877,877,877,877,case_2877,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
988,988,988,988,case_2988,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
912,912,912,912,case_2912,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
925,925,925,925,case_2925,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
927,927,927,927,case_2927,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
984,984,984,984,case_2984,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
57,57,57,57,case_2057,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
1033,1033,1033,1033,case_5693,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
31,31,31,31,case_2031,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
26,26,26,26,case_2026,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
217,217,217,217,case_2217,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
231,231,231,231,case_2231,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
472,472,472,472,case_2472,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
336,336,336,336,case_2336,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
253,253,253,253,case_2253,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
582,582,582,582,case_2582,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
87,87,87,87,case_2087,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
97,97,97,97,case_2097,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
674,674,674,674,case_2674,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
548,548,548,548,case_2548,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
701,701,701,701,case_2701,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
697,697,697,697,case_2697,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
695,695,695,695,case_2695,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
550,550,550,550,case_2550,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
80,80,80,80,case_2080,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
75,75,75,75,case_2075,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
758,758,758,758,case_2758,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
881,881,881,881,case_2881,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
402,402,402,402,case_2402,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
481,481,481,481,case_2481,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
115,115,115,115,case_2115,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
491,491,491,491,case_2491,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
311,311,311,311,case_2311,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
304,304,304,304,case_2304,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
500,500,500,500,case_2500,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
123,123,123,123,case_2123,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
119,119,119,119,case_2119,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
106,106,106,106,case_2106,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
126,126,126,126,case_2126,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
111,111,111,111,case_2111,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
32,32,32,32,case_2032,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
166,166,166,166,case_2166,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
1026,1026,1026,1026,case_5325,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
221,221,221,221,case_2221,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
163,163,163,163,case_2163,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
10,10,10,10,case_2010,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
202,202,202,202,case_2202,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
255,255,255,255,case_2255,24,"[24, 29, 50, 53, 63, 85, 97, 103, 112, 114, 116, 130, 146, 152, 153, 155, 175, 176, 180, 204, 223, 230, 242, 247]"
197,197,197,197,case_2197,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
133,133,133,133,case_2133,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
132,132,132,132,case_2132,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
150,150,150,150,case_2150,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
201,201,201,201,case_2201,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
155,155,155,155,case_2155,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
248,248,248,248,case_2248,24,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 242, 247]"
802,802,802,802,case_2802,25,"[24, 29, 41, 50, 53, 70, 85, 103, 113, 114, 116, 130, 146, 155, 175, 176, 180, 188, 197, 221, 223, 230, 238, 242, 247]"
673,673,673,673,case_2673,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
720,720,720,720,case_2720,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
721,721,721,721,case_2721,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
723,723,723,723,case_2723,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
83,83,83,83,case_2083,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
85,85,85,85,case_2085,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
520,520,520,520,case_2520,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
110,110,110,110,case_2110,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
127,127,127,127,case_2127,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
140,140,140,140,case_2140,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
141,141,141,141,case_2141,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
164,164,164,164,case_2164,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
998,998,998,998,case_2998,25,"[24, 29, 41, 50, 53, 63, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 223, 230, 238, 242, 247]"
1008,1008,1008,1008,case_5051,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
1009,1009,1009,1009,case_5057,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
994,994,994,994,case_2994,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
999,999,999,999,case_2999,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
27,27,27,27,case_2027,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
19,19,19,19,case_2019,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
21,21,21,21,case_2021,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
22,22,22,22,case_2022,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
982,982,982,982,case_2982,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
970,970,970,970,case_2970,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
971,971,971,971,case_2971,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
972,972,972,972,case_2972,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
973,973,973,973,case_2973,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
974,974,974,974,case_2974,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
977,977,977,977,case_2977,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
962,962,962,962,case_2962,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
193,193,193,193,case_2193,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
170,170,170,170,case_2170,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
171,171,171,171,case_2171,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
172,172,172,172,case_2172,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
989,989,989,989,case_2989,26,"[24, 29, 41, 50, 53, 63, 70, 85, 97, 103, 114, 116, 130, 146, 153, 155, 175, 176, 180, 197, 221, 223, 230, 238, 242, 247]"
978,978,978,978,case_2978,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
979,979,979,979,case_2979,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
980,980,980,980,case_2980,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
509,509,509,509,case_2509,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
510,510,510,510,case_2510,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
501,501,501,501,case_2501,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
502,502,502,502,case_2502,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
504,504,504,504,case_2504,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
505,505,505,505,case_2505,26,"[24, 29, 50, 53, 63, 70, 85, 97, 103, 113, 114, 116, 130, 146, 153, 155, 175, 176, 180, 188, 197, 221, 223, 230, 242, 247]"
